1RD8	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
1RU7	A	1934	A/Puerto Rico/8/34,A/Puerto Rico/8/34/Mount Sinai,A/Puerto Rico/8/1934
1RUY	H 	1979	A/Swine/Iowa/15/30,A/Kiev/59/1979
1RUZ	H 	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
1RV0	H 	1990	A/swine/St-Hyacinthe/148/1990
1RVT	H 	1990	A/swine/St-Hyacinthe/148/1990
1RVX	A	1934	A/Puerto Rico/8/34,A/Puerto Rico/8/34/Mount Sinai,A/Puerto Rico/8/1934
1RVZ	A	1934	A/Puerto Rico/8/34,A/Puerto Rico/8/34/Mount Sinai,A/Puerto Rico/8/1934
2WRG	H 	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
2WRH	H 	1976	A/mallard/Alberta/35/1976
3AL4	A	2009	A/California/04/2009
3GBN	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
3HTO	A	2005	A/WDK/JX/12416/2005
3HTP	A	2005	A/WDK/JX/12416/2005
3HTQ	A	2005	A/WDK/JX/12416/2005
3HTT	A	2005	A/WDK/JX/12416/2005
3LZF	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
3LZG	A	2009	A/California/04/2009
3M6S	A	2009	A/Darwin/2001/2009
3R2X	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
3UBE	A	2009	A/California/04/2009
3UBJ	A	2009	A/California/04/2009
3UBN	A	2009	A/California/04/2009
3UBQ	A	2009	A/California/04/2009
3ZTN	A	2009	A/California/04/2009
4EDA	A	2009	A/Korea/01/2009
4EDB	A	2006	A/Thailand/CU44/2006
4EEF	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4GXU	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4GXX	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4JTV	A	2009	A/California/04/2009
4JTX	A	2009	A/California/04/2009
4JU0	A	2009	A/California/04/2009
4JUG	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4JUH	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4JUJ	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
4LXV	A	2011	A/Tottori/YK012/2011
4M4Y	A	2009	A/California/04/2009
4PY8	A	1918	A/South Carolina/1/18,A/Brevig Mission/1/1918
5GJS	A	2009	A/California/04/2009
5GJT	A	2011	A/Washington/05/2011
5K9O	F	2009	A/California/04/2009
5UGY	A	2006	A/Solomon Islands/03/2006
